Greek Council,Greek Organization,Home City,Home State,Home Country,Latitude of Home City,Longitude of Home City,Free and reduced percentage of  High School,Public or Private High School,Domestic or International High School,Boarding/Day High School,Religous High School?,Gender of High School's Students,Tuition of High School,Sports Team,Merit Scholarship
None,None,Accokeek,Maryland,United States,38.667617,-77.028309,Data not available,private,Domestic,Day,Episcopal,Co-Ed,36610,None,None
None,None,Advance,North Carolina,United States,35.941248,-80.409222,0.34741523,public,Domestic,Day,Unafilliated,Co-Ed,0,Fooball,None
None,None,Ajman,NA,United Arab Emirates,25.509129,55.361907,NA,private,International,Day,Unafilliated,Co-Ed,13093.46,None,None
None,None,Alameda,California,United States,37.609029,-121.899142,0.2268,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Albuquerque,New Mexico,United States,35.084103,-106.650985,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,22870,None,None
None,None,Albuquerque,New Mexico,United States,35.084103,-106.650985,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,22870,None,None
None,None,Albuquerque,New Mexico,United States,35.084103,-106.650985,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,22870,Men's Track,None
Fraternity,Sigma Chi,Albuquerque,New Mexico,United States,35.084103,-106.650985,0.56784492,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Alexandria,Virginia,United States,38.80511,-77.047023,0.5183,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Allen,Texas,United States,33.103174,-96.67055,0.143,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Allen,Texas,United States,33.103174,-96.67055,0.143,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Kappa Alpha Theta,Allen,Texas,United States,33.103174,-96.67055,0.143,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Sigma Alpha Epsilon,Allentown,Pennsylvania,United States,40.602206,-75.471279,0.1950048,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Alpharetta,Georgia,United States,34.070958,-84.274733,Data not available,private,Domestic,Day,Catholic,Co-Ed,14170,Baseball,None
None,None,Alpharetta,Georgia,United States,34.070958,-84.274733,0.1135,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Alpharetta,Georgia,United States,34.070958,-84.274733,0.1135,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Delta Tau Delta,Alpharetta,Georgia,United States,34.070958,-84.274733,0.11442256,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Alpha Phi,Alpharetta,Georgia,United States,34.070958,-84.274733,0.10489856,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Delta Gamma,Alpharetta,Georgia,United States,34.070958,-84.274733,0.07061163,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Delta Delta Delta,Ambridge,Pennsylvania,United States,40.589234,-80.22506,NA,private,Domestic,Day,Unafilliated,Co-Ed,26670,None,None
None,None,Anacortes,Washington,United States,48.502012,-122.623736,0.2744,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Anchorage,Alaska,United States,61.216313,-149.894852,0.47,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Andover,Massachusetts,United States,42.65717,-71.140878,0.0727,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Ankara,NA,Turkey,39.922073,32.853758,NA,private,International,Day,Unafilliated,Co-Ed,5450.21,None,None
None,None,Ankara,NA,Turkey,39.922073,32.853758,NA,private,International,Day,Unafilliated,Co-Ed,20000,None,None
None,None,Ankara,NA,Turkey,39.922073,32.853758,NA,private,International,Day,Unafilliated,Co-Ed,20000,None,None
Sorority,Kappa Alpha Theta,Ann Arbor,Michigan,United States,42.268157,-83.731229,0.16367403,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Annandale,Virginia,United States,38.83031,-77.196497,0.10092514,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Anniston,Alabama,United States,33.695381,-85.839842,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,9494,None,None
None,None,Anyang,NA,South Korea,37.393853,126.957061,NA,private,International,Boarding,Unafilliated,Co-Ed,15000,None,None
None,None,Arcadia,California,United States,34.136208,-118.04015,0.1893,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Arlington,Virginia,United States,32.735582,-97.107119,Data not available,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Arlington,Texas,United States,38.890396,-77.084158,0.52227722,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Zeta Tau Alpha,Arlington Heights,Illinois,United States,42.081268,-87.980066,0.13145756,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Alpha Epsilon Pi,Armonk,New York,United States,41.126485,-73.714019,0.028735632,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Arvada,Colorado,United States,39.802764,-105.087484,0.0831965,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Zeta Tau Alpha,Arverne,New York,United States,40.593417,-73.789546,0.45374583,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Ashburn,Virginia,United States,39.043719,-77.48749,0.06756756,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Asheville,North Carolina,United States,35.60095,-82.554016,Data not available,private,Domestic,Boarding,Unafilliated,Co-Ed,54900,None,Alumni Endowed
Fraternity,Pi Kappa Alpha,Asheville,North Carolina,United States,35.60095,-82.554016,Data not available,private,Domestic,Boarding,Unafilliated,Co-Ed,54900,None,None
None,None,Athens,Alabama,United States,39.32924,-82.101255,0.7300158,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Athens,Ohio,United States,34.744741,-86.976145,0.403,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Chi Omega,Atherton,California,United States,37.461327,-122.197743,NA,private,Domestic,Day,Unafilliated,All-Girls,44580,None,None
None,None,Atlanta,Georgia,United States,33.749099,-84.390185,NA,Data not available,Data not available,Day,Unafilliated,Co-Ed,NA,None,None
None,None,Atlanta,Georgia,United States,33.749099,-84.390185,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,27720,Baseball,None
None,None,Atlanta,Georgia,United States,33.749099,-84.390185,Data not available,private,Domestic,Day,Inter-/Non-denominational,Co-Ed,26815,None,None
None,None,Atlanta,Georgia,United States,33.749099,-84.390185,Data not available,private,Domestic,Day,Jewish,Co-Ed,26000,None,None
None,None,Atlanta,Georgia,United States,33.749099,-84.390185,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,23463,None,None
None,None,Atlanta,Georgia,United States,33.749099,-84.390185,Data not available,private,Domestic,Day,Catholic,Co-Ed,18650,Baseball,None
None,None,Atlanta,Georgia,United States,33.749099,-84.390185,0.7024,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Delta Delta Delta,Atlanta,Georgia,United States,33.749099,-84.390185,NA,private,Domestic,Boarding,Unafilliated,Co-Ed,60480,None,None
Sorority,Gamma Phi Beta,Atlanta,Georgia,United States,33.749099,-84.390185,Data not available,private,Domestic,Day,Episcopal,Co-Ed,26670,None,None
Fraternity,Alpha Tau Omega,Atlanta,Georgia,United States,33.749099,-84.390185,NA,private,Domestic,Day,Unafilliated,Co-Ed,23463,None,None
Fraternity,Pi Kappa Phi,Atlanta,Georgia,United States,33.749099,-84.390185,0.46158499,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Delta Gamma,Atlanta,Georgia,United States,33.749099,-84.390185,0.41552734,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Atlantic Beach,Florida,United States,30.342165,-81.37037,Data not available,private,Domestic,Day,Episcopal,Co-Ed,22400,None,None
None,None,Auburn,California,United States,38.894594,-121.07399,0.29004329,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Augusta,Georgia,United States,33.470971,-81.974843,0.25015995,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Aurora,Illinois,United States,41.317555,-81.345386,0.24518006,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Aurora,Colorado,United States,39.729432,-104.83192,0.15785609,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Aurora,Colorado,United States,39.729432,-104.83192,0.15785609,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Aurora,Ohio,United States,41.760585,-88.320071,0.0848,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Alpha Phi,Aurora,Colorado,United States,39.729432,-104.83192,0.15785609,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Austin,Texas,United States,30.271129,-97.743699,0.92756183,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Austin,Texas,United States,30.271129,-97.743699,0.12010252,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Austin,Texas,United States,30.271129,-97.743699,0.02794175,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Delta Tau Delta,Austin,Texas,United States,30.271129,-97.743699,Data not available,private,Domestic,Day,Episcopal,Co-Ed,25990,None,None
Sorority,Kappa Alpha Theta,Austin,Texas,United States,30.271129,-97.743699,0.318,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Zeta Tau Alpha,Austin,Texas,United States,30.271129,-97.743699,0.26708633,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Gamma Phi Beta,Austin,Texas,United States,30.271129,-97.743699,0.02794175,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Aventura,Florida,United States,25.953257,-80.136646,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,33200,None,None
None,None,Avon,Connecticut,United States,41.809821,-72.830654,0.0618,public,Domestic,Day,Unafilliated,Co-Ed,0,None,AB
Fraternity,Delta Sigma Phi,Bainbridge Island,Washington,United States,47.65526,-122.535086,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,32000,None,None
Fraternity,Pi Kappa Phi,Bainbridge Island,Washington,United States,47.65526,-122.535086,0.075,public,Domestic,Day,Unafilliated,Co-Ed,0,Men's Lacrosse,None
None,None,Baku,NA,Azerbaijan,40.392514,49.846679,NA,Data not available,International,Day,Unafilliated,Co-Ed,NA,None,None
None,None,Baldwin,New York,United States,40.656491,-73.609295,0.1694,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Ballyconnell,NA,Ireland,54.116667,-7.583333,NA,public,International,Day,Catholic,All-Girls,0,Women's Golf,None
None,None,Baltimore,Maryland,United States,39.290861,-76.610807,0.6003,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Pi Kappa Alpha,Baltimore,Maryland,United States,39.290861,-76.610807,Data not available,private,Domestic,Day,Unafilliated,All-Boys,29690,None,None
None,None,Bangalore,NA,India,12.97912,77.5913,NA,private,International,Day,Unafilliated,Co-Ed,9462,None,None
None,None,Bangalore,NA,India,12.97912,77.5913,NA,private,International,Day,Unafilliated,Co-Ed,5128.5,None,None
None,None,Bangalore,NA,India,12.97912,77.5913,NA,private,International,Day,Unafilliated,Co-Ed,16705.6,None,None
None,None,Bangkok,NA,Thailand,13.585922,100.416087,NA,private,International,Boarding,Unafilliated,Co-Ed,118660.78,None,None
None,None,Barrington,Illinois,United States,42.153914,-88.136189,0.2113,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Zeta Tau Alpha,Barrington,Illinois,United States,42.153914,-88.136189,0,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Basking Ridge,New Jersey,United States,40.706409,-74.549272,0.02263157,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Kappa Alpha Order,Basking Ridge,New Jersey,United States,40.706409,-74.549272,0.02263157,public,Domestic,Day,Unafilliated,Co-Ed,0,Men's Fencing,None
None,None,Battle,NA,United Kingdom,50.917771,0.483654,NA,public,International,Day,Unafilliated,Co-Ed,0,None,None
None,None,Battle,NA,United Kingdom,50.917771,0.483654,NA,public,International,Day,Unafilliated,Co-Ed,0,None,University
Sorority,Kappa Alpha Theta,Bay Harbor Islands,Florida,United States,25.887595,-80.131156,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,33200,None,None
None,None,Bay Shore,New York,United States,40.725099,-73.245395,0.4708,public,Domestic,Day,Unafilliated,Co-Ed,0,Women's Lacrosse,None
None,None,Bayonne,New Jersey,United States,40.668714,-74.114309,0.6695,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bear,Delaware,United States,39.629279,-75.658263,0.32443626,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bear Creek,North Carolina,United States,34.657556,-77.253685,0.35643564,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Beaumont,Texas,United States,30.086046,-94.101846,Data not available,private,Domestic,Day,Catholic,Co-Ed,11475,None,None
None,None,Bee Cave,Texas,United States,30.308537,-97.94501,0.09957048,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Gamma Phi Beta,Beijing,NA,China,39.905963,116.391248,NA,public,International,NA,Unafilliated,NA,NA,None,None
None,None,Beijing,NA,China,39.905963,116.391248,NA,public,International,NA,Unafilliated,NA,NA,None,None
None,None,Beijing,NA,China,39.905963,116.391248,NA,private,International,Data not available,Unafilliated,Co-Ed,NA,None,None
None,None,Beijing,NA,China,39.905963,116.391248,NA,public,International,Day,Unafilliated,Co-Ed,NA,None,None
None,None,Beijing,NA,China,39.905963,116.391248,NA,public,International,Day,Unafilliated,Co-Ed,NA,None,None
None,None,Beijing,NA,China,39.905963,116.391248,NA,public,International,Day,Unafilliated,Co-Ed,NA,None,None
None,None,Beijing,NA,China,39.905963,116.391248,NA,public,International,Day,Unafilliated,Co-Ed,NA,None,None
None,None,Beijing,NA,China,39.905963,116.391248,NA,public,International,Day,Unafilliated,Co-Ed,NA,None,None
None,None,Beijing,NA,China,39.905963,116.391248,NA,public,International,Day,Unafilliated,Co-Ed,NA,None,None
None,None,Beijing,NA,China,39.905963,116.391248,NA,public,International,Data not available,Unafilliated,Co-Ed,9187.8,None,None
None,None,Beijing,NA,China,39.905963,116.391248,NA,public,International,Data not available,Unafilliated,Co-Ed,9187.8,None,None
None,None,Beijing,NA,China,39.905963,116.391248,NA,private,International,Day,Unafilliated,Co-Ed,32220,None,None
None,None,Beijing,NA,China,39.905963,116.391248,Data not available,private,Domestic,Boarding,Unafilliated,Co-Ed,56100,None,None
None,None,Beijing,NA,China,39.905963,116.391248,NA,public,International,Day,Unafilliated,Co-Ed,0,None,None
None,None,Beirut,NA,Lebanon,33.89592,35.47843,NA,private,International,Day,Unafilliated,Co-Ed,7662.58,None,None
None,None,Beirut,NA,Lebanon,33.89592,35.47843,NA,private,International,Day,Unafilliated,Co-Ed,5895.12,None,None
None,None,Beirut,NA,Lebanon,33.89592,35.47843,NA,private,International,Boarding,Unafilliated,Co-Ed,37000,None,None
None,None,Bel Air,Maryland,United States,39.535506,-76.34904,0.12529976,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bellaire,Texas,United States,29.705786,-95.45883,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,27545,None,None
None,None,Bellaire,Texas,United States,29.705786,-95.45883,Data not available,private,Domestic,Day,Jewish,Co-Ed,21030,None,None
None,None,Belle Mead,New Jersey,United States,40.466771,-74.660714,0.03850641,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Sigma Alpha Epsilon,Belle Mead,New Jersey,United States,40.466771,-74.660714,0.03850641,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bellevue,Washington,United States,47.614422,-122.192337,0.24716981,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bellevue,Washington,United States,47.614422,-122.192337,0.13121387,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bellevue,Washington,United States,47.614422,-122.192337,0.1152,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Alpha Phi,Bellevue,Washington,United States,47.614422,-122.192337,0.13121387,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Delta Tau Delta,Bellmore,New York,United States,40.654081,-73.528588,0.11544461,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Belmont,Massachusetts,United States,35.242918,-81.037297,Data not available,private,Domestic,Boarding,Episcopal,Co-Ed,55700,Women's Lacrosse,None
None,None,Belmont,North Carolina,United States,42.39593,-71.178665,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,14365,None,None
None,None,Belmont,Massachusetts,United States,42.39593,-71.178665,0.0792,public,Domestic,Day,Unafilliated,Co-Ed,0,Rowing,None
Fraternity,Alpha Tau Omega,Belvedere,California,United States,37.872704,-122.464417,NA,private,Domestic,Day,Unafilliated,Co-Ed,42285,None,None
Sorority,Delta Delta Delta,Belvedere,California,United States,37.872704,-122.464417,NA,private,Domestic,Day,Catholic,All-Girls,19500,None,None
None,None,Bensalem,Pennsylvania,United States,40.104555,-74.951279,0.4204,public,Domestic,Day,Unafilliated,Co-Ed,0,Men's Track,None
None,None,Berkley,Michigan,United States,42.503091,-83.183539,0.1725,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Berlin,Ohio,United States,40.561173,-81.7943,0.24840764,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bernardsville,New Jersey,United States,40.718681,-74.569227,Data not available,private,Domestic,Day,Catholic,All-Boys,37900,Men's Lacrosse,None
None,None,Bernardsville,New Jersey,United States,40.718681,-74.569227,0.0985,public,Domestic,Day,Unafilliated,Co-Ed,0,Men's Fencing,None
None,None,Bernardsville,New Jersey,United States,40.718681,-74.569227,0.0985,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Delta Gamma,Berwyn,Pennsylvania,United States,40.044831,-75.438805,0.06094588,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
